,showID,questionID,questionNumber,category,question,questionTime,answerOption,answerText,isCorrect,count,answerTime
0,5091813,38301,1,Educational,Which of these is a vehicle with three wheels?,1:04:43 PM,A,Tricycle,TRUE,694486,1:05:08 PM
1,5091813,38301,1,Educational,Which of these is a vehicle with three wheels?,1:04:43 PM,B,Trick Daddy,FALSE,2046,1:05:08 PM
2,5091813,38301,1,Educational,Which of these is a vehicle with three wheels?,1:04:43 PM,C,Triceratops,FALSE,1814,1:05:08 PM
3,5091813,38302,2,,What word does Aretha Franklin spell out in her iconic 1967 hit?,1:05:22 PM,A,Respect,TRUE,647036,1:05:47 PM
4,5091813,38302,2,,What word does Aretha Franklin spell out in her iconic 1967 hit?,1:05:22 PM,B,Robocop,FALSE,14120,1:05:47 PM
5,5091813,38302,2,,What word does Aretha Franklin spell out in her iconic 1967 hit?,1:05:22 PM,C,Ridonkulous,FALSE,22664,1:05:47 PM
6,5091813,38303,3,Geography,"What Canadian province's name is Latin for ""New Scotland""?",1:06:03 PM,A,Nova Scotia,TRUE,597330,1:06:23 PM
7,5091813,38303,3,Geography,"What Canadian province's name is Latin for ""New Scotland""?",1:06:03 PM,B,Ontario,FALSE,30241,1:06:23 PM
8,5091813,38303,3,Geography,"What Canadian province's name is Latin for ""New Scotland""?",1:06:03 PM,C,Alberta,FALSE,11006,1:06:23 PM
9,5091813,38308,4,Science ,Which of these speeds is typically fastest?,1:06:40 PM,A,Speed of light,TRUE,528612,1:07:08 PM
10,5091813,38308,4,Science ,Which of these speeds is typically fastest?,1:06:40 PM,B,Speed of sound,FALSE,49213,1:07:08 PM
11,5091813,38308,4,Science ,Which of these speeds is typically fastest?,1:06:40 PM,C,They're the same,FALSE,13655,1:07:08 PM
12,5091813,38307,5,Sports,Three consecutive strikes is known as a turkey in which of these sports?,1:07:19 PM,A,Bowling,TRUE,447067,1:07:45 PM
13,5091813,38307,5,Sports,Three consecutive strikes is known as a turkey in which of these sports?,1:07:19 PM,B,Cricket,FALSE,72967,1:07:45 PM
14,5091813,38307,5,Sports,Three consecutive strikes is known as a turkey in which of these sports?,1:07:19 PM,C,Volleyball,FALSE,5253,1:07:45 PM
15,5091813,38306,6,Music,"At the start of his career, Justin Bieber was mentored by which of these musicians?",1:07:59 PM,A,Jay-Z,FALSE,67431,1:08:26 PM
16,5091813,38306,6,Music,"At the start of his career, Justin Bieber was mentored by which of these musicians?",1:07:59 PM,B,Usher,TRUE,361658,1:08:26 PM
17,5091813,38306,6,Music,"At the start of his career, Justin Bieber was mentored by which of these musicians?",1:07:59 PM,C,DJ Khaled,FALSE,15741,1:08:26 PM
18,5091813,38304,7,Educational,"By definition, which of these words can refer to a college graduation ceremony?",1:08:42 PM,A,Commencement,TRUE,334372,1:09:06 PM
